epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.6675032447862161,0.3129973474801061,1.2294016485371866,0.43388429752066116,0.001
2,1.0997993693638437,0.493368700265252,0.8448915481567383,0.6363636363636364,0.001
3,0.7607007889912046,0.6808134394341291,0.4459213205605499,0.8223140495867769,0.001
4,0.6304870039672582,0.7285587975243147,0.43044873357804353,0.8181818181818182,0.001
5,0.47617116222647204,0.8090185676392573,0.23374980860505223,0.9380165289256198,0.001
6,0.32168894039119483,0.8753315649867374,0.380385689591327,0.8429752066115702,0.001
7,0.28470564054557435,0.8938992042440318,0.1167457540296326,0.9504132231404959,0.001
8,0.24390311418619964,0.9036251105216623,0.1660247352743937,0.9256198347107438,0.001
9,0.29530205156664,0.8868258178603006,0.3207902170348266,0.8884297520661157,0.001
10,0.19905769967273945,0.9416445623342176,0.1413278272144558,0.9504132231404959,0.001
11,0.10940935498945066,0.9664014146772767,0.06626457182213294,0.9710743801652892,0.001
12,0.19699615983837584,0.9328028293545535,0.08025160277924262,0.9710743801652892,0.001
13,0.15607366849240953,0.9549071618037135,0.04601149777458473,0.9917355371900827,0.001
14,0.19913137966979405,0.9301503094606542,0.0958480941716674,0.9628099173553719,0.001
15,0.1279083703151327,0.9637488947833776,0.02891747041197478,1.0,0.001
16,0.10237543652481362,0.9637488947833776,0.1399356542955622,0.9586776859504132,0.001
17,0.09800119265077338,0.9708222811671088,0.05531357085401546,0.9834710743801653,0.001
18,0.06721839189008998,0.9840848806366048,0.017589311369440773,0.9958677685950413,0.001
19,0.06363734481484645,0.9752431476569408,0.031133534482965047,0.9793388429752066,0.001
20,0.05117345903855999,0.9840848806366048,0.015812900194451827,1.0,0.001
21,0.0943214408098123,0.9770114942528736,0.04929529060417217,0.9917355371900827,0.001
22,0.05727056860363821,0.9858532272325375,0.009889274927949117,0.9958677685950413,0.001
23,0.06540567915026958,0.9761273209549072,0.010579988573512354,1.0,0.001
24,0.0629473432773357,0.9761273209549072,0.008769409430852113,1.0,0.001
25,0.04757109515955235,0.9849690539345711,0.009417534232416674,0.9958677685950413,0.001
26,0.029103425258126647,0.9911582670203359,0.00982675180782002,0.9958677685950413,0.001
27,0.017924584996755623,0.9964633068081344,0.0069734375810343,1.0,0.001
28,0.055973394535511575,0.9805481874447391,0.19381678005724218,0.9545454545454546,0.001
29,0.10902170829061554,0.9610963748894783,0.020708244634034065,0.987603305785124,0.001
30,0.028217727021655113,0.9938107869142352,0.003383375993883622,1.0,0.001
31,0.03298180777032775,0.995579133510168,0.0017270479415743495,1.0,0.001
32,0.012351681283163772,0.995579133510168,0.0013123661806914678,1.0,0.001
33,0.03303739340246303,0.9946949602122016,0.0017596638126708645,1.0,0.001
34,0.06648987290226285,0.982316534040672,0.0027520995537080794,1.0,0.001
35,0.14156131194715052,0.9531388152077808,0.021886411038312046,1.0,0.001
36,0.028548846854626553,0.9938107869142352,0.005609785939743819,1.0,0.0005
37,0.02545764055811231,0.9929266136162688,0.004015250377547504,1.0,0.0005
38,0.020393525841081832,0.9920424403183024,0.0019257427510720763,1.0,0.0005
39,0.012317947257156991,0.9973474801061007,0.005234186655783079,1.0,0.0005
40,0.015844924931655697,0.9964633068081344,0.0070624196697950115,1.0,0.00025
41,0.011517812282993244,0.9973474801061007,0.0009476152601774997,1.0,0.00025
42,0.009892003571204545,0.9991158267020336,0.001704033344891692,1.0,0.00025
43,0.008985669054436827,0.9991158267020336,0.0012240840789808098,1.0,0.00025
44,0.020327208473105856,0.9973474801061007,0.0008939049083524006,1.0,0.00025
45,0.007606691069024838,0.9991158267020336,0.0006833444431247113,1.0,0.00025
46,0.006093686157516365,0.9991158267020336,0.0009086000418467524,1.0,0.00025
47,0.005303435717239172,0.9991158267020336,0.0007896077047556269,1.0,0.00025
48,0.008718221691839476,0.9991158267020336,0.0018366043716149542,1.0,0.00025
49,0.010630338271494353,0.995579133510168,0.0012024721224053402,1.0,0.000125
50,0.006278855895033151,0.9982316534040672,0.0009965659749370899,1.0,0.000125
51,0.0072033378344184,0.9982316534040672,0.0008858706299908275,1.0,0.000125
52,0.015256454662323511,0.9973474801061007,0.0007981062748407837,1.0,0.000125
53,0.012092396269696925,0.9991158267020336,0.0027714732376289022,1.0,6.25e-05
54,0.012031586622328528,0.9973474801061007,0.0007556368532390449,1.0,6.25e-05
55,0.005808172075968865,0.9991158267020336,0.0007251711997149651,1.0,6.25e-05
