epoch,phase,train_loss,train_acc,val_loss,val_acc,lr
1,1,0.6149692613924636,0.8152077807250221,6.147714114263038,0.7644628099173554,0.001
2,1,0.18948989800917795,0.946949602122016,8.42009804985863,0.8181818181818182,0.001
3,1,0.1426922913597918,0.9522546419098143,0.4325782599558761,0.8925619834710744,0.001
4,1,0.09259438502851784,0.9717064544650752,5.619586091900383,0.8512396694214877,0.001
5,1,0.09426471124593395,0.9655172413793104,28.5027332797431,0.8223140495867769,0.001
6,1,0.10408261297130669,0.969053934571176,35.39251020914887,0.8057851239669421,0.001
7,1,0.08034987188052224,0.9725906277630415,15.936037395307256,0.859504132231405,0.0005
8,1,0.07786382661159064,0.9734748010610079,16.452440252301017,0.8512396694214877,0.0005
9,2,0.05986445561911051,0.9805481874447391,14.896939032958592,0.9008264462809917,0.0001
10,2,0.029760831964525843,0.9902740937223696,0.2718045202601982,0.9297520661157025,0.0001
11,2,0.0123996810467171,0.9946949602122016,0.28464157544273677,0.9256198347107438,0.0001
12,2,0.006271548567143796,0.9991158267020336,0.460667348682687,0.9008264462809917,0.0001
13,2,0.010967725532884512,0.995579133510168,0.24708923085593648,0.9380165289256198,0.0001
14,2,0.005987355742166288,0.9973474801061007,0.22763628918995185,0.9421487603305785,0.0001
15,2,0.008541040147830107,0.9982316534040672,0.2076893293531251,0.9421487603305785,0.0001
16,2,0.00813445623953881,0.9982316534040672,0.24275046013100704,0.9380165289256198,0.0001
17,2,0.004204972331948357,0.9991158267020336,0.2539531661335606,0.9256198347107438,0.0001
18,2,0.015264399908349218,0.9946949602122016,0.38622861847062634,0.9173553719008265,0.0001
19,2,0.0027366008426740153,1.0,0.6800999712802591,0.9090909090909091,5e-05
20,2,0.0038991578479229934,1.0,0.7967297269462567,0.8842975206611571,5e-05
21,2,0.0023450623366756945,1.0,0.41897502973947404,0.9132231404958677,5e-05
22,2,0.002242860383359068,1.0,0.6515034008423243,0.8966942148760331,5e-05
23,2,0.001260323830377714,1.0,0.4029827611276225,0.9256198347107438,2.5e-05
24,2,0.0013781513206362864,1.0,0.3586798622218527,0.9380165289256198,2.5e-05
25,2,0.0009139543911812713,1.0,0.3818021476024663,0.9256198347107438,2.5e-05
