epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.73785181534596,0.29708222811671087,1.2748262862528652,0.45041322314049587,0.001
2,1.1453300785638925,0.4765694076038904,0.7413620347819052,0.7107438016528925,0.001
3,0.8183478098016835,0.6419098143236074,0.5019078146327626,0.7768595041322314,0.001
4,0.6668580998160163,0.7276746242263483,0.3520719500120021,0.8801652892561983,0.001
5,0.5651649431145159,0.7807250221043325,0.2762369294304493,0.8925619834710744,0.001
6,0.49365920434474525,0.7922192749778957,0.4204598141849534,0.8264462809917356,0.001
7,0.4355120098664632,0.8390804597701149,0.17966221513088085,0.9380165289256198,0.001
8,0.3694613406502178,0.8691423519009726,0.1362896535453225,0.9462809917355371,0.001
9,0.37469229162740664,0.8567639257294429,0.21911163581920065,0.9256198347107438,0.001
10,0.35452785500375494,0.8779840848806366,0.11252840026474197,0.9545454545454546,0.001
11,0.3055117503895526,0.887709991158267,0.1334712658354566,0.9586776859504132,0.001
12,0.26831323571114496,0.9160035366931919,0.11495547589253295,0.9669421487603306,0.001
13,0.2576845795719841,0.9045092838196287,0.11015366916814126,0.9834710743801653,0.001
14,0.2567843436852269,0.900972590627763,0.0607900055171537,0.9710743801652892,0.001
15,0.20322350435663808,0.9354553492484527,0.10074405391769838,0.987603305785124,0.001
16,0.13605151360378553,0.9504862953138815,0.08023454270468475,0.9586776859504132,0.001
17,0.12418460246475263,0.9610963748894783,0.12121563567704793,0.9628099173553719,0.001
18,0.19926095242051295,0.9363395225464191,0.09681249339586775,0.9834710743801653,0.0005
19,0.15876786856130623,0.9531388152077808,0.03835361523838514,0.9793388429752066,0.0005
20,0.07326840636979996,0.9849690539345711,0.033567110530662636,0.9793388429752066,0.0005
21,0.09564156879059094,0.9717064544650752,0.009698506259967474,1.0,0.0005
22,0.07273640750745142,0.9805481874447391,0.011669608578663166,1.0,0.0005
23,0.06847830320635166,0.986737400530504,0.022035092443331437,0.987603305785124,0.0005
24,0.08589086505221277,0.9814323607427056,0.008349326807689999,1.0,0.0005
25,0.05868465216644273,0.982316534040672,0.014242497529312084,1.0,0.0005
26,0.03662423655772821,0.9902740937223696,0.0068441529385366694,1.0,0.0005
27,0.11317599827965522,0.9672855879752431,0.019917681312100956,0.9958677685950413,0.0005
28,0.054957667426605544,0.9858532272325375,0.015608789700106044,0.9958677685950413,0.0005
29,0.04784711841487669,0.9885057471264368,0.014939500321447705,0.9958677685950413,0.0005
30,0.03669836338529994,0.9911582670203359,0.057443139537119076,0.9834710743801653,0.00025
31,0.03669125320753008,0.9911582670203359,0.003651936799610103,1.0,0.00025
32,0.03114455432493559,0.9920424403183024,0.0031113311505134695,1.0,0.00025
33,0.029560540737724218,0.9946949602122016,0.0029482571713923197,1.0,0.00025
34,0.0419029299866418,0.9893899204244032,0.0034196004005620996,1.0,0.00025
35,0.033759372515124654,0.9938107869142352,0.004095567387455147,1.0,0.00025
36,0.032786186662635164,0.9902740937223696,0.004514419774697807,1.0,0.00025
37,0.021711158581822453,0.995579133510168,0.0009236874528908606,1.0,0.00025
38,0.03972643020189805,0.9946949602122016,0.0014714759575003543,1.0,0.00025
39,0.02210820968790683,0.9946949602122016,0.0011752541864883494,1.0,0.00025
40,0.03082957050732603,0.9893899204244032,0.0009643891564547998,1.0,0.00025
41,0.021812105231863225,0.9938107869142352,0.002991873724891204,1.0,0.000125
42,0.026146250273818256,0.9938107869142352,0.0017984023439409109,1.0,0.000125
43,0.01765372445123397,0.9982316534040672,0.001956157371953978,1.0,0.000125
44,0.035365068259633335,0.995579133510168,0.002631334379018445,1.0,0.000125
45,0.015308107167917157,0.9964633068081344,0.0007562699721791071,1.0,0.000125
46,0.01771401485163063,0.9964633068081344,0.0011141610774464139,1.0,0.000125
47,0.01983068809534936,0.9973474801061007,0.0006243899564546425,1.0,0.000125
48,0.026498903149440818,0.995579133510168,0.0027805927451226135,1.0,0.000125
49,0.037594650769943845,0.9902740937223696,0.0012584215669336147,1.0,0.000125
50,0.014751373930191118,0.9973474801061007,0.010000081940235819,0.9958677685950413,0.000125
51,0.02957280410023836,0.9938107869142352,0.0020017005275924232,1.0,6.25e-05
52,0.025309033629403777,0.995579133510168,0.0017264669758942019,1.0,6.25e-05
53,0.025490101689520556,0.9973474801061007,0.0026909070145524883,1.0,6.25e-05
54,0.020555263456610993,0.9964633068081344,0.0009412979898867385,1.0,6.25e-05
55,0.01815399274256354,0.995579133510168,0.0009908143807922536,1.0,3.125e-05
56,0.01605674395235593,0.9946949602122016,0.0014197769391270307,1.0,3.125e-05
57,0.01932108135124838,0.9982316534040672,0.001110173635562987,1.0,3.125e-05
