epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.6693164014268196,0.3121131741821397,1.2312085500433425,0.5082644628099173,0.001
2,1.110760370732197,0.4960212201591512,0.8706173192371022,0.628099173553719,0.001
3,0.7868390608740317,0.654288240495137,0.4483383534368405,0.7933884297520661,0.001
4,0.6000157294286025,0.7365163572060124,0.5300792091148944,0.7107438016528925,0.001
5,0.47001898362507977,0.8143236074270557,0.19830445994522947,0.9421487603305785,0.001
6,0.2880315432814135,0.8912466843501327,0.5267791857342582,0.7892561983471075,0.001
7,0.2745500771768529,0.9115826702033598,0.11128835218442866,0.9504132231404959,0.001
8,0.22393898137579124,0.9239610963748894,0.15816625293867648,0.9297520661157025,0.001
9,0.3479886353542908,0.8735632183908046,0.22029770510502097,0.9132231404958677,0.001
10,0.22129528499830095,0.9221927497789567,0.1917475676741297,0.9132231404958677,0.001
11,0.1517762854748021,0.9522546419098143,0.08689363298106416,0.9834710743801653,0.001
12,0.16668149956710354,0.9504862953138815,0.06496933336208059,0.9793388429752066,0.001
13,0.10686546330900977,0.9681697612732095,0.031165958874789644,0.9958677685950413,0.001
14,0.1571476177883085,0.946949602122016,0.0844008998006336,0.9669421487603306,0.001
15,0.09956097563318612,0.9725906277630415,0.022673818496371474,1.0,0.001
16,0.09136601766055923,0.9699381078691424,0.08257787855734572,0.9752066115702479,0.001
17,0.10617882405942146,0.9655172413793104,0.1556249532889727,0.9504132231404959,0.001
18,0.1165611055061208,0.964633068081344,0.016667140936402005,1.0,0.001
19,0.037007256719391785,0.9893899204244032,0.030576797029049682,0.9834710743801653,0.001
20,0.04350753783007094,0.9911582670203359,0.010337444051161162,1.0,0.001
21,0.07975008978346193,0.9734748010610079,0.019361095318247465,1.0,0.001
22,0.09410776190910979,0.9628647214854111,0.01730336058954131,1.0,0.001
23,0.04007908236523588,0.9902740937223696,0.014169531106594796,1.0,0.001
24,0.03884791121114075,0.9893899204244032,0.003736629576060521,1.0,0.001
25,0.03705960062310218,0.9849690539345711,0.026257457349435926,0.987603305785124,0.001
26,0.02793742984870513,0.9929266136162688,0.0644267862766626,0.9793388429752066,0.001
27,0.03082818136312509,0.9920424403183024,0.018290030126773063,0.987603305785124,0.001
28,0.029166596283712924,0.9929266136162688,0.003953343201024566,1.0,0.0005
29,0.016462011015584904,0.995579133510168,0.00132073799926549,1.0,0.0005
30,0.004154635294279616,0.9991158267020336,0.0013790359329249448,1.0,0.0005
31,0.015446163608118641,0.9982316534040672,0.0015442068481717783,1.0,0.0005
32,0.005919004605671722,0.9982316534040672,0.0006229389761478355,1.0,0.0005
33,0.029564335263745117,0.995579133510168,0.0037394834507722408,1.0,0.0005
34,0.016604818218315817,0.9982316534040672,0.0013742889566270035,1.0,0.0005
35,0.014569069070916105,0.9982316534040672,0.007475797424835157,1.0,0.0005
36,0.008871141993864764,0.9982316534040672,0.0015218289177441461,1.0,0.00025
37,0.008768093931981939,0.9982316534040672,0.0007311278022825718,1.0,0.00025
38,0.00660354845167346,0.9991158267020336,0.0006850088017122928,1.0,0.00025
39,0.007372278128993026,0.9991158267020336,0.0006473897367019267,1.0,0.00025
40,0.006739759562243926,0.9991158267020336,0.0013861104794046725,1.0,0.000125
41,0.005148689003182026,0.9991158267020336,0.0015714856606430937,1.0,0.000125
42,0.005205980178864655,0.9991158267020336,0.001982405869658721,1.0,0.000125
