epoch,train_loss,train_acc,val_loss,val_acc,lr,best_epoch,best_val_loss
1,0.8430409609322839,0.6631299734748011,1.0472715075073902,0.6239669421487604,0.001,40,0.0009722585978913929
2,0.4770451108245698,0.8267020335985853,0.2779883237417079,0.8925619834710744,0.001,40,0.0009722585978913929
3,0.32083032481128615,0.8938992042440318,0.15074980400564256,0.9462809917355371,0.001,40,0.0009722585978913929
4,0.28643065664643846,0.900972590627763,0.1551897594135655,0.9586776859504132,0.001,40,0.0009722585978913929
5,0.22458096047505988,0.9292661361626879,0.2250001743620585,0.9049586776859504,0.001,40,0.0009722585978913929
6,0.19752697667698224,0.9434129089301503,0.07903259056658785,0.9628099173553719,0.001,40,0.0009722585978913929
7,0.20196968438243781,0.9345711759504863,0.4971135670621302,0.7727272727272727,0.001,40,0.0009722585978913929
8,0.17449691035281653,0.9372236958443855,0.08383771755601749,0.9793388429752066,0.001,40,0.0009722585978913929
9,0.18401450959588447,0.9398762157382847,0.13362373386640564,0.9545454545454546,0.001,40,0.0009722585978913929
10,0.16158249096781885,0.9522546419098143,0.7499509680369669,0.7933884297520661,0.0005,40,0.0009722585978913929
11,0.1485037855132031,0.9460654288240495,0.018943641203925138,1.0,0.0005,40,0.0009722585978913929
12,0.10042051557257152,0.9752431476569408,0.07670481743922164,0.9752066115702479,0.0005,40,0.0009722585978913929
13,0.10956639714150382,0.9681697612732095,0.011238074772952756,1.0,0.0005,40,0.0009722585978913929
14,0.07617332188167159,0.9814323607427056,0.006551593580583403,1.0,0.0005,40,0.0009722585978913929
15,0.07968529426450754,0.9734748010610079,0.01716433708702237,1.0,0.0005,40,0.0009722585978913929
16,0.10148199073884678,0.9725906277630415,0.01635765368195851,0.9958677685950413,0.0005,40,0.0009722585978913929
17,0.06026252493291935,0.986737400530504,0.010960462278001442,1.0,0.0005,40,0.0009722585978913929
18,0.05428543229851704,0.9885057471264368,0.01149714545900972,0.9958677685950413,0.00025,40,0.0009722585978913929
19,0.058091420706634915,0.9858532272325375,0.00895007040682595,1.0,0.00025,40,0.0009722585978913929
20,0.05124036755304121,0.9858532272325375,0.006177289488394399,1.0,0.00025,40,0.0009722585978913929
21,0.05649893157098485,0.982316534040672,0.010867142509130285,1.0,0.00025,40,0.0009722585978913929
22,0.04511973665241616,0.9876215738284704,0.017106720154974147,0.9958677685950413,0.00025,40,0.0009722585978913929
23,0.04323102036617848,0.9911582670203359,0.004923820563915286,1.0,0.00025,40,0.0009722585978913929
24,0.030501253922674953,0.9938107869142352,0.0038698791951510656,1.0,0.00025,40,0.0009722585978913929
25,0.043275470469084386,0.9902740937223696,0.007626815629768963,1.0,0.00025,40,0.0009722585978913929
26,0.057052431244380065,0.9885057471264368,0.013609304082241248,0.9958677685950413,0.00025,40,0.0009722585978913929
27,0.0424247884926914,0.9946949602122016,0.003142822708949939,1.0,0.00025,40,0.0009722585978913929
28,0.04360339514067962,0.9893899204244032,0.002020299748309757,1.0,0.00025,40,0.0009722585978913929
29,0.04456307249725076,0.9893899204244032,0.0020606109751234495,1.0,0.00025,40,0.0009722585978913929
30,0.043429923542733215,0.9876215738284704,0.0031453107189279325,1.0,0.00025,40,0.0009722585978913929
31,0.03600250673994988,0.9893899204244032,0.003439358173396192,1.0,0.00025,40,0.0009722585978913929
32,0.03649237110492774,0.9885057471264368,0.002561942276868138,1.0,0.000125,40,0.0009722585978913929
33,0.032819054289585085,0.9920424403183024,0.0030279803794062087,1.0,0.000125,40,0.0009722585978913929
34,0.045000347382101624,0.9929266136162688,0.0018783617992731473,1.0,0.000125,40,0.0009722585978913929
35,0.020376102666178706,0.9964633068081344,0.0033227574082153027,1.0,0.000125,40,0.0009722585978913929
36,0.03816890006079598,0.986737400530504,0.0017353586086710868,1.0,0.000125,40,0.0009722585978913929
37,0.028857594791957885,0.9911582670203359,0.005053061443046197,1.0,0.000125,40,0.0009722585978913929
38,0.025346140846590308,0.9946949602122016,0.002237052490265101,1.0,0.000125,40,0.0009722585978913929
39,0.021770907603830072,0.9929266136162688,0.0013867158357107874,1.0,0.000125,40,0.0009722585978913929
40,0.02601466951093033,0.9964633068081344,0.0009722585978913929,1.0,0.000125,40,0.0009722585978913929
41,0.03370631557982333,0.9885057471264368,0.0038568058533667133,1.0,0.000125,40,0.0009722585978913929
42,0.030540391392709407,0.9920424403183024,0.0014757499010263641,1.0,0.000125,40,0.0009722585978913929
43,0.02293230777657422,0.9938107869142352,0.002084471022446586,1.0,0.000125,40,0.0009722585978913929
44,0.03143034745617107,0.9920424403183024,0.0019926116027299714,1.0,6.25e-05,40,0.0009722585978913929
45,0.038756626973523174,0.9911582670203359,0.002053594887295107,1.0,6.25e-05,40,0.0009722585978913929
46,0.029697147172494446,0.9911582670203359,0.003772076109639746,1.0,6.25e-05,40,0.0009722585978913929
47,0.031747239761245556,0.9911582670203359,0.002437597321546521,1.0,6.25e-05,40,0.0009722585978913929
48,0.019437191650521744,0.995579133510168,0.0015031479997560382,1.0,3.125e-05,40,0.0009722585978913929
49,0.029870547611137915,0.9911582670203359,0.001442041747177728,1.0,3.125e-05,40,0.0009722585978913929
50,0.02475330766593456,0.9929266136162688,0.002813445726719354,1.0,3.125e-05,40,0.0009722585978913929
