train_loss,train_acc,val_loss,val_acc,lr,best_epoch,best_val_loss
0.8887801684709274,0.6790450928381963,0.6891948905858126,0.6611570247933884,0.001,41,0.000506633207632983
0.45424400964318706,0.8390804597701149,0.16128440915553038,0.9586776859504132,0.001,41,0.000506633207632983
0.3306108760580776,0.8894783377541998,0.46280859094420984,0.8553719008264463,0.001,41,0.000506633207632983
0.2905824067685374,0.9045092838196287,0.2425735291740126,0.8925619834710744,0.001,41,0.000506633207632983
0.23177747297982637,0.9213085764809903,0.11916009900121649,0.9586776859504132,0.001,41,0.000506633207632983
0.24716073501226019,0.9098143236074271,0.1698229197751392,0.9214876033057852,0.001,41,0.000506633207632983
0.20529906620015412,0.9381078691423519,0.12459940825250339,0.9297520661157025,0.001,41,0.000506633207632983
0.13985442590861064,0.9566755083996463,0.6735666639841169,0.7892561983471075,0.001,41,0.000506633207632983
0.1844800594802139,0.9389920424403183,0.3879306636010805,0.8760330578512396,0.0005,41,0.000506633207632983
0.10900130272109249,0.9725906277630415,0.031808943926426005,0.9958677685950413,0.0005,41,0.000506633207632983
0.11508151329889116,0.9628647214854111,0.01185589119183931,1.0,0.0005,41,0.000506633207632983
0.10980497241995169,0.9717064544650752,0.010528867055992942,1.0,0.0005,41,0.000506633207632983
0.10463337373617579,0.9672855879752431,0.008274563940334295,1.0,0.0005,41,0.000506633207632983
0.09831677310030404,0.9681697612732095,0.01583580670816716,1.0,0.0005,41,0.000506633207632983
0.09373705681647272,0.97789566755084,0.01099014148300837,1.0,0.0005,41,0.000506633207632983
0.08323219307853942,0.9734748010610079,0.7820088592307903,0.8388429752066116,0.0005,41,0.000506633207632983
0.10475987130092584,0.9717064544650752,0.013844481619336635,1.0,0.00025,41,0.000506633207632983
0.07577976775310347,0.986737400530504,0.011351093023289996,0.9958677685950413,0.00025,41,0.000506633207632983
0.06179317817500373,0.9840848806366048,0.005873872740732983,1.0,0.00025,41,0.000506633207632983
0.07337647438408341,0.9770114942528736,0.00993603868503797,1.0,0.00025,41,0.000506633207632983
0.054355703137821586,0.9876215738284704,0.0037995949406792557,1.0,0.00025,41,0.000506633207632983
0.045306692026707056,0.9858532272325375,0.003489317624033082,1.0,0.00025,41,0.000506633207632983
0.05765890375201308,0.9840848806366048,0.0029701155563239164,1.0,0.00025,41,0.000506633207632983
0.06267958279834134,0.9858532272325375,0.002029932379214601,1.0,0.00025,41,0.000506633207632983
0.05677961596311667,0.982316534040672,0.05695420493393913,0.9793388429752066,0.00025,41,0.000506633207632983
0.04704690453860741,0.9876215738284704,0.003566281742046872,1.0,0.00025,41,0.000506633207632983
0.05398811800174817,0.9858532272325375,0.0024818865113799297,1.0,0.00025,41,0.000506633207632983
0.03361776334445209,0.9911582670203359,0.0010848729784623528,1.0,0.00025,41,0.000506633207632983
0.0328863360033849,0.9946949602122016,0.0018314143377240778,1.0,0.00025,41,0.000506633207632983
0.05351087238942623,0.9832007073386384,0.0009841093425985332,1.0,0.00025,41,0.000506633207632983
0.03440080036489074,0.9902740937223696,0.0012468932353321862,1.0,0.00025,41,0.000506633207632983
0.03688956379468835,0.9893899204244032,0.003267192291403728,1.0,0.00025,41,0.000506633207632983
0.04630941127539735,0.9893899204244032,0.0026874629509335093,1.0,0.00025,41,0.000506633207632983
0.056184254011516416,0.9885057471264368,0.002122355407837024,1.0,0.000125,41,0.000506633207632983
0.026999593232317796,0.9938107869142352,0.0020085569410507897,1.0,0.000125,41,0.000506633207632983
0.034758856057277514,0.9885057471264368,0.005398247657249458,0.9958677685950413,0.000125,41,0.000506633207632983
0.024829663527317535,0.9946949602122016,0.0007617048758528511,1.0,0.000125,41,0.000506633207632983
0.037854201386820205,0.9885057471264368,0.0019251122330613665,1.0,0.000125,41,0.000506633207632983
0.03140865012535629,0.9938107869142352,0.0022576982788029627,1.0,0.000125,41,0.000506633207632983
0.02964766741549937,0.9893899204244032,0.003453136129408915,1.0,0.000125,41,0.000506633207632983
0.03402624923857728,0.9902740937223696,0.000506633207632983,1.0,0.000125,41,0.000506633207632983
0.0237294841593973,0.9929266136162688,0.004585734917481587,1.0,0.000125,41,0.000506633207632983
0.02999465144012917,0.9902740937223696,0.0014185393625997347,1.0,0.000125,41,0.000506633207632983
0.026980167921800514,0.9938107869142352,0.0016413892785035274,1.0,0.000125,41,0.000506633207632983
0.033897940425785256,0.9920424403183024,0.0011716340897000618,1.0,6.25e-05,41,0.000506633207632983
0.019446976972821273,0.995579133510168,0.0015133132847566697,1.0,6.25e-05,41,0.000506633207632983
0.029302970022885386,0.9911582670203359,0.001135374289025237,1.0,6.25e-05,41,0.000506633207632983
0.018742883037759287,0.995579133510168,0.0012159954002685075,1.0,6.25e-05,41,0.000506633207632983
0.022202262565762028,0.9929266136162688,0.0011324214798105834,1.0,3.125e-05,41,0.000506633207632983
0.020532722468796713,0.9938107869142352,0.0017187003887398939,1.0,3.125e-05,41,0.000506633207632983
0.02102418222640016,0.9946949602122016,0.001434538327494236,1.0,3.125e-05,41,0.000506633207632983
