epoch,phase,train_loss,train_acc,val_loss,val_acc,lr
1,1,0.84034458400927,0.7462422634836428,0.6960827269829994,0.7727272727272727,0.001
2,1,0.33916822339347985,0.9098143236074271,0.41749251393739845,0.8553719008264463,0.001
3,1,0.1890693064630822,0.9575596816976127,0.25079493837292527,0.9297520661157025,0.001
4,1,0.1440611226858026,0.9628647214854111,0.21694244860001832,0.9380165289256198,0.001
5,1,0.10587442045904545,0.9699381078691424,0.20880148602911264,0.9380165289256198,0.001
6,1,0.07766475917147284,0.9814323607427056,0.1766755909558909,0.9421487603305785,0.001
7,1,0.07524727395085978,0.9805481874447391,0.22732529686071162,0.9090909090909091,0.001
8,1,0.05133092869484878,0.9893899204244032,0.30596291661755115,0.8760330578512396,0.001
9,1,0.05703402602770073,0.986737400530504,0.1754852266643535,0.9297520661157025,0.001
10,1,0.046759162272740844,0.9876215738284704,0.20114269677149363,0.9256198347107438,0.001
11,1,0.03680540399937162,0.9929266136162688,0.27963286085623845,0.8760330578512396,0.001
12,1,0.043460673643531365,0.9902740937223696,0.13097072321121112,0.9545454545454546,0.001
13,1,0.03893289133860251,0.9893899204244032,0.20444042762079515,0.9256198347107438,0.001
14,1,0.04068830541633959,0.9876215738284704,0.10353314613323074,0.9586776859504132,0.001
15,1,0.02777957692939976,0.9938107869142352,0.1258612815329174,0.9462809917355371,0.001
16,2,0.011195272265313395,0.9964633068081344,0.0007812071301539483,1.0,0.0001
17,2,0.006376785307584921,0.9982316534040672,0.0018541025406606918,1.0,0.0001
18,2,0.005277707223308204,0.9991158267020336,0.0011240904158970927,1.0,0.0001
19,2,0.0007889441064646723,1.0,0.0003836529531270586,1.0,0.0001
20,2,0.0008928260493291822,1.0,0.00048486716091547874,1.0,0.0001
21,2,0.0079042846092129,0.9982316534040672,0.007976353371306746,0.9958677685950413,0.0001
22,2,0.0005735750919026051,1.0,0.0011382938077164066,1.0,0.0001
23,2,0.004812556232856788,0.9982316534040672,0.0023909999375666476,1.0,5e-05
24,2,0.009458296588199964,0.9964633068081344,0.01685917917651633,0.9917355371900827,5e-05
25,2,0.0013272553997422554,1.0,0.012502964884716649,0.9917355371900827,5e-05
26,2,0.0015708313800537892,0.9991158267020336,0.0001846676039176525,1.0,5e-05
27,2,0.0009641961468301376,1.0,5.675425918553621e-05,1.0,5e-05
28,2,0.000239012145518899,1.0,9.058840551231636e-05,1.0,5e-05
29,2,0.0002884841531977386,1.0,2.7661106690222993e-05,1.0,5e-05
30,2,0.003187785614192986,0.9991158267020336,4.00214578840918e-05,1.0,5e-05
31,2,0.0010771597522966276,1.0,1.6798269865979113e-05,1.0,5e-05
32,2,0.0002244139275678717,1.0,1.2919007921843287e-05,1.0,5e-05
33,2,0.00024114484919602472,1.0,9.342679641316016e-06,1.0,5e-05
34,2,0.0003101611991139166,1.0,6.543965115553859e-06,1.0,5e-05
35,2,0.00015638375303216108,1.0,7.2269044892789134e-06,1.0,5e-05
36,2,0.00019709280756713955,1.0,4.7279454416382555e-06,1.0,5e-05
37,2,0.00013669643632256484,1.0,3.531841816545449e-06,1.0,5e-05
38,2,0.00021635642445750684,1.0,4.694093831799759e-06,1.0,5e-05
39,2,0.00013100901777512983,1.0,1.395557408859193e-06,1.0,5e-05
40,2,0.0001553486952666225,1.0,2.687112111576061e-06,1.0,5e-05
41,2,0.00028324505755316547,1.0,3.1025555747588396e-06,1.0,5e-05
42,2,0.00040272505525491733,1.0,2.89650563709572e-06,1.0,5e-05
43,2,0.00023893949177223616,1.0,3.901640546174322e-06,1.0,2.5e-05
44,2,0.0003560196193306405,1.0,2.994554817462828e-06,1.0,2.5e-05
45,2,0.00011706019101784051,1.0,2.7341804790422835e-06,1.0,2.5e-05
46,2,0.0011106878184961662,0.9991158267020336,3.694912614146787e-05,1.0,2.5e-05
47,2,0.00038440223566018077,1.0,1.6830940836481083e-05,1.0,1.25e-05
48,2,0.00023842783070160422,1.0,1.1460741399005418e-05,1.0,1.25e-05
49,2,0.00013337831066076713,1.0,5.280919293499978e-06,1.0,1.25e-05
