epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.7442579712096196,0.27674624226348365,1.292869191524411,0.45454545454545453,0.001
2,1.1853213486789498,0.4465075154730327,0.869979212106752,0.5661157024793388,0.001
3,0.9069921561408949,0.5985853227232537,0.5892702301671683,0.768595041322314,0.001
4,0.6873193240397594,0.7294429708222812,0.3776259656287422,0.8842975206611571,0.001
5,0.5625440697296861,0.7833775419982316,0.4388165789202225,0.8471074380165289,0.001
6,0.5422734520690405,0.7718832891246684,0.5558706407458329,0.8099173553719008,0.001
7,0.4661822951440786,0.8169761273209549,0.3158394292166287,0.8884297520661157,0.001
8,0.36014590405131947,0.8594164456233422,0.21448784064470736,0.9214876033057852,0.001
9,0.41312832009149375,0.8399646330680813,0.20599490825148406,0.9297520661157025,0.001
10,0.36406380760258644,0.8709106984969054,0.18231531350742564,0.9380165289256198,0.001
11,0.2976871538251823,0.8992042440318302,0.09533619822949664,0.9628099173553719,0.001
12,0.371591618902171,0.878868258178603,0.13392874370675442,0.9586776859504132,0.001
13,0.30627893030011055,0.8930150309460654,0.11135412040666855,0.9504132231404959,0.001
14,0.2622046195016721,0.9062776304155614,0.07308572165529467,0.9710743801652892,0.001
15,0.22527893769013788,0.9336870026525199,0.0830414271259234,0.9917355371900827,0.001
16,0.16841222803008757,0.9416445623342176,0.09332645616826288,0.9586776859504132,0.001
17,0.20822076419093355,0.9257294429708223,0.1722415599028901,0.9545454545454546,0.001
18,0.2057547911566828,0.9372236958443855,0.05075173045620168,0.9793388429752066,0.001
19,0.1672315431065416,0.9487179487179487,0.05034187028842616,0.9793388429752066,0.001
20,0.12927313093639495,0.9628647214854111,0.06746191308955847,0.9669421487603306,0.001
21,0.127159249324065,0.9610963748894783,0.026424464872486942,0.987603305785124,0.001
22,0.2371280857622887,0.9257294429708223,0.07658797302879855,0.9710743801652892,0.001
23,0.19993976346166864,0.9460654288240495,0.03698134753460542,0.9834710743801653,0.001
24,0.16651099559930865,0.9434129089301503,0.08794163867363644,0.9710743801652892,0.001
25,0.11451147272310011,0.9637488947833776,0.04377860378681813,0.9793388429752066,0.0005
26,0.06728862455916763,0.982316534040672,0.04021450857819654,0.9710743801652892,0.0005
27,0.05022423635059877,0.9885057471264368,0.026169226445143835,0.9834710743801653,0.0005
28,0.04871719476135298,0.9893899204244032,0.02541163642284622,0.9834710743801653,0.0005
29,0.06077043793372527,0.9885057471264368,0.005565790648147375,1.0,0.0005
30,0.055022442056266316,0.9858532272325375,0.01759073818478153,0.9917355371900827,0.0005
31,0.0754099017751068,0.982316534040672,0.0063218882742524535,1.0,0.0005
32,0.06487079363960235,0.9840848806366048,0.005549206332763472,1.0,0.0005
33,0.06844557859958747,0.9849690539345711,0.005869447219369294,1.0,0.0005
34,0.10181055123449215,0.9734748010610079,0.033399325828153345,0.987603305785124,0.0005
35,0.04760996809280309,0.9876215738284704,0.016554725109588705,0.9917355371900827,0.0005
36,0.043453802615667635,0.9938107869142352,0.003994471017761476,1.0,0.0005
37,0.06466548384523808,0.9832007073386384,0.034908398047568616,0.9834710743801653,0.0005
38,0.08184694054772852,0.9805481874447391,0.00997661273327102,1.0,0.0005
39,0.02869552426134046,0.9946949602122016,0.0016339622857193424,1.0,0.0005
40,0.032154871929835474,0.9911582670203359,0.0027111952230566092,1.0,0.0005
41,0.03748501685738669,0.9876215738284704,0.0017286523628375235,1.0,0.0005
42,0.03905253791631958,0.9911582670203359,0.0025337550018663052,1.0,0.0005
43,0.030872712919701,0.9920424403183024,0.005508973028646541,1.0,0.00025
44,0.0315599798938798,0.9929266136162688,0.0036050329077645733,1.0,0.00025
45,0.025946186649984458,0.9929266136162688,0.0008709113135860996,1.0,0.00025
46,0.02415087682746308,0.995579133510168,0.000989071132915169,1.0,0.00025
47,0.018894590322129184,0.9973474801061007,0.0014130395770147824,1.0,0.00025
48,0.0215422678796474,0.9964633068081344,0.003349225788767637,1.0,0.00025
49,0.03069698500568846,0.9920424403183024,0.0029108266780655478,1.0,0.000125
50,0.018592299419293835,0.9964633068081344,0.0017685838375967229,1.0,0.000125
51,0.013621800263749088,0.9982316534040672,0.0010518004586185631,1.0,0.000125
52,0.017725143481013436,0.9982316534040672,0.0018561639728924386,1.0,0.000125
53,0.025537974552756172,0.9946949602122016,0.006556501280259267,0.9958677685950413,6.25e-05
54,0.017675387620584994,0.9973474801061007,0.0017808774522712358,1.0,6.25e-05
55,0.014272537816269673,0.9964633068081344,0.0008476737561676984,1.0,6.25e-05
56,0.016827186339005342,0.9964633068081344,0.0013389223544857313,1.0,6.25e-05
57,0.015522774593833798,0.9982316534040672,0.0007730603831607954,1.0,6.25e-05
58,0.014592033037281769,0.9973474801061007,0.0012987081596792984,1.0,6.25e-05
59,0.02246348210126672,0.9946949602122016,0.0009786497560747922,1.0,6.25e-05
60,0.012565498331695084,0.9973474801061007,0.0010829808727859838,1.0,6.25e-05
61,0.016161492561088144,0.9973474801061007,0.0010385936301361668,1.0,3.125e-05
62,0.018219678914246102,0.9964633068081344,0.001173927491428672,1.0,3.125e-05
63,0.014993776841901051,0.9991158267020336,0.0009873655002722954,1.0,3.125e-05
64,0.010642452104652018,0.9991158267020336,0.0010473728106598934,1.0,3.125e-05
65,0.016595676849298937,0.9973474801061007,0.0010593953340516658,1.0,1.5625e-05
66,0.016171386618553465,0.995579133510168,0.0009497022128014518,1.0,1.5625e-05
67,0.014141222243431945,0.9964633068081344,0.0009282414860541574,1.0,1.5625e-05
