epoch,train_loss,train_acc,val_loss,val_acc,lr,best_epoch,best_val_loss
1,0.8194331569970972,0.6728558797524314,0.40470658747617866,0.8471074380165289,0.001,61,0.0007055438095261151
2,0.4476537965600413,0.8443854995579133,0.6519061069596898,0.731404958677686,0.001,61,0.0007055438095261151
3,0.35598163397622046,0.8691423519009726,0.1657033537106573,0.9545454545454546,0.001,61,0.0007055438095261151
4,0.2713916688024418,0.9221927497789567,0.0827844501896338,0.9628099173553719,0.001,61,0.0007055438095261151
5,0.2366566651300663,0.9204244031830239,0.2112813725151614,0.9132231404958677,0.001,61,0.0007055438095261151
6,0.22115003762257826,0.9283819628647215,0.2395455420309724,0.8884297520661157,0.001,61,0.0007055438095261151
7,0.22294980188737815,0.9266136162687887,0.07374654142263014,0.9669421487603306,0.001,61,0.0007055438095261151
8,0.14463191750195045,0.9531388152077808,0.03588477197326412,0.9958677685950413,0.001,61,0.0007055438095261151
9,0.15137925923239542,0.964633068081344,0.05456964941387457,0.9793388429752066,0.001,61,0.0007055438095261151
10,0.15451065935095679,0.9531388152077808,0.042052661253462645,0.9834710743801653,0.001,61,0.0007055438095261151
11,0.15356094917820998,0.9496021220159151,0.044315771415275484,0.9917355371900827,0.001,61,0.0007055438095261151
12,0.1387112351755301,0.9619805481874447,0.035503519329527194,1.0,0.001,61,0.0007055438095261151
13,0.13795134392225247,0.9593280282935456,0.1592122798406496,0.9214876033057852,0.001,61,0.0007055438095261151
14,0.14163323730941793,0.9531388152077808,0.03191846767094079,0.987603305785124,0.001,61,0.0007055438095261151
15,0.1266177290907273,0.9637488947833776,0.06685398092631958,0.9793388429752066,0.001,61,0.0007055438095261151
16,0.13960710125724157,0.9593280282935456,0.013539514213815823,0.9958677685950413,0.001,61,0.0007055438095261151
17,0.09551237229748599,0.9743589743589743,0.03024633335476849,0.9917355371900827,0.001,61,0.0007055438095261151
18,0.09911430855697494,0.9752431476569408,0.02295126848972464,0.987603305785124,0.001,61,0.0007055438095261151
19,0.10912942981872803,0.9717064544650752,0.005533357198958185,1.0,0.001,61,0.0007055438095261151
20,0.0913668930082591,0.969053934571176,0.0993533628605006,0.9669421487603306,0.001,61,0.0007055438095261151
21,0.1502139348566374,0.9540229885057471,0.09517100482264125,0.9545454545454546,0.001,61,0.0007055438095261151
22,0.06098091789248715,0.9840848806366048,0.007141695448297484,1.0,0.001,61,0.0007055438095261151
23,0.11456575211068364,0.9672855879752431,0.042425822091148396,0.9793388429752066,0.0005,61,0.0007055438095261151
24,0.08629830827925002,0.9805481874447391,0.004698033433038095,1.0,0.0005,61,0.0007055438095261151
25,0.0738317042615538,0.9770114942528736,0.0033889386094798726,1.0,0.0005,61,0.0007055438095261151
26,0.047354326561211905,0.9849690539345711,0.0031514597964311434,1.0,0.0005,61,0.0007055438095261151
27,0.03643301156473821,0.9885057471264368,0.005779381761084934,1.0,0.0005,61,0.0007055438095261151
28,0.032967104341021215,0.9920424403183024,0.004397400685639913,1.0,0.0005,61,0.0007055438095261151
29,0.037945942730897304,0.9902740937223696,0.0027304961103638095,1.0,0.0005,61,0.0007055438095261151
30,0.05686859667707139,0.9796640141467727,0.002000030484685505,1.0,0.0005,61,0.0007055438095261151
31,0.04054109692313337,0.9911582670203359,0.005171026764528957,1.0,0.0005,61,0.0007055438095261151
32,0.03463985421797747,0.9876215738284704,0.003709404615537179,1.0,0.0005,61,0.0007055438095261151
33,0.04437176739281516,0.9876215738284704,0.006396966502897842,1.0,0.0005,61,0.0007055438095261151
34,0.05004390629846685,0.9858532272325375,0.003076526576899423,1.0,0.00025,61,0.0007055438095261151
35,0.030942786264271993,0.9920424403183024,0.003221541928408344,1.0,0.00025,61,0.0007055438095261151
