epoch,phase,train_loss,train_acc,val_loss,val_acc,lr
1,1,0.7895674338707557,0.7206012378426172,0.35811667107353523,0.9008264462809917,0.001
2,1,0.2983805860938697,0.9124668435013262,0.12248861802018378,0.9793388429752066,0.001
3,1,0.18423007080820575,0.9487179487179487,0.11443460051524491,0.9752066115702479,0.001
4,1,0.14725456187200167,0.9593280282935456,0.04868629169150079,0.9958677685950413,0.001
5,1,0.11610796556179762,0.9628647214854111,0.0222929864890935,1.0,0.001
6,1,0.13672235713831943,0.9575596816976127,0.031326656345247235,0.9917355371900827,0.001
7,1,0.10758623793708023,0.9664014146772767,0.04506083980033344,0.9917355371900827,0.001
8,1,0.12364283042682365,0.9593280282935456,0.04220772299084289,0.9917355371900827,0.001
9,1,0.09778794924918789,0.9655172413793104,0.17213122783255694,0.9256198347107438,0.0005
10,1,0.07182633324923977,0.9787798408488063,0.025207720591094007,0.9958677685950413,0.0005
11,2,0.05913119505972302,0.9885057471264368,0.0007021605979238948,1.0,0.0001
12,2,0.017813410798736596,0.995579133510168,0.0004364276924094186,1.0,0.0001
13,2,0.008475220563947483,0.9982316534040672,0.00020754654838692508,1.0,0.0001
14,2,0.004541024773000393,1.0,0.00016766491280427283,1.0,0.0001
15,2,0.0022811357769309698,1.0,2.0581135611205694e-05,1.0,0.0001
16,2,0.008486050441507069,0.9973474801061007,0.001071517766854225,1.0,0.0001
17,2,0.022753786805677075,0.9929266136162688,0.0003238563242519391,1.0,0.0001
18,2,0.007607247971052223,0.9982316534040672,0.00011211017280484984,1.0,0.0001
19,2,0.005608464156217366,0.9991158267020336,0.00032654406378244006,1.0,5e-05
20,2,0.003643948750797483,1.0,3.0717690684470714e-05,1.0,5e-05
21,2,0.0010222199633852377,1.0,1.6933075623544125e-05,1.0,5e-05
22,2,0.002006224313849471,0.9991158267020336,1.4062590855889186e-05,1.0,5e-05
23,2,0.005627639852264513,0.9973474801061007,1.0461911942498277e-05,1.0,5e-05
24,2,0.002524505885142797,0.9991158267020336,7.54076839958235e-06,1.0,5e-05
25,2,0.0010319571845026755,1.0,5.4008558028411145e-06,1.0,5e-05
26,2,0.009272899485338737,0.9964633068081344,3.604689748136228e-05,1.0,5e-05
27,2,0.007504038625403685,0.9982316534040672,1.1080813006391178e-05,1.0,5e-05
28,2,0.003230070554368053,0.9982316534040672,4.846540516027293e-06,1.0,5e-05
29,2,0.00457936561859734,0.9982316534040672,5.1307866638365734e-06,1.0,5e-05
30,2,0.002380419896949419,0.9991158267020336,3.1154409356656648e-06,1.0,5e-05
31,2,0.0010273842983608698,1.0,2.861667158444659e-06,1.0,5e-05
32,2,0.000654712370839744,1.0,2.0409073401935514e-06,1.0,5e-05
33,2,0.0011949103503959635,1.0,2.026778888558118e-06,1.0,5e-05
34,2,0.001675018503550252,1.0,9.549387526607563e-07,1.0,5e-05
35,2,0.016840872898038373,0.9964633068081344,6.437643577093455e-06,1.0,5e-05
36,2,0.0021256206963771963,1.0,1.3681329882390007e-05,1.0,5e-05
37,2,0.0013152548175869808,1.0,5.561746850763626e-06,1.0,5e-05
38,2,0.0008538699370157756,1.0,7.916737061581563e-06,1.0,2.5e-05
39,2,0.0010310693525140105,1.0,7.0844256925181435e-06,1.0,2.5e-05
40,2,0.0013335270512223065,1.0,3.608499805372695e-06,1.0,2.5e-05
41,2,0.0021434335195898223,0.9991158267020336,5.41200846001171e-06,1.0,2.5e-05
42,2,0.0009151298917540136,1.0,8.094608421859539e-06,1.0,1.25e-05
43,2,0.000913826589693431,1.0,6.434936980669885e-06,1.0,1.25e-05
44,2,0.0007702477210137171,1.0,3.5214279142980206e-06,1.0,1.25e-05
