epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.5110738743310688,0.2519893899204244,1.3706651137880057,0.359504132231405,0.001
2,1.3411152475603274,0.3333333333333333,1.2112795104665204,0.5165289256198347,0.001
3,1.1969893535189033,0.4332449160035367,1.1031386665076264,0.3925619834710744,0.001
4,0.9883010055405391,0.5570291777188329,0.6591725438094336,0.7768595041322314,0.001
5,0.6957559379511022,0.713527851458886,0.4632930659558162,0.8305785123966942,0.001
6,0.5769426607115937,0.7754199823165341,0.5488095476853946,0.7644628099173554,0.001
7,0.5584395334954604,0.7736516357206012,0.2954880215904929,0.9173553719008265,0.001
8,0.41810941349659,0.8390804597701149,0.33514464769727925,0.8842975206611571,0.001
9,0.4150207902771725,0.8364279398762158,0.26977252496852855,0.9132231404958677,0.001
10,0.4485982280721926,0.8275862068965517,0.29325060991277874,0.9008264462809917,0.001
11,0.3463685223676271,0.8868258178603006,0.15684387943715103,0.9586776859504132,0.001
12,0.36830258988680614,0.870026525198939,0.205241181387389,0.9462809917355371,0.001
13,0.36002163322861486,0.8629531388152077,0.24570459181304313,0.9421487603305785,0.001
14,0.32199385024402966,0.8894783377541998,0.14017614793063196,0.9586776859504132,0.001
15,0.2941259878805314,0.8974358974358975,0.15612868148802725,0.9297520661157025,0.001
16,0.2288617026637235,0.9142351900972591,0.09562600504083574,0.9669421487603306,0.001
17,0.2504618338496152,0.9115826702033598,0.2019281766766082,0.9338842975206612,0.001
18,0.26365977097516774,0.900972590627763,0.08478694969464924,0.9710743801652892,0.001
19,0.20697484013256406,0.9213085764809903,0.09198770978418756,0.9628099173553719,0.001
20,0.20730734806570408,0.9283819628647215,0.15488482269743256,0.9545454545454546,0.001
21,0.19829968303099446,0.9257294429708223,0.07479826391728456,0.9793388429752066,0.001
22,0.22583623634936217,0.9098143236074271,0.08325185975413923,0.987603305785124,0.001
23,0.1570395408190003,0.9442970822281167,0.05203919912388256,1.0,0.001
24,0.208097398254747,0.9274977895667551,0.0815693677580061,0.9669421487603306,0.001
