epoch,train_loss,train_acc,val_loss,val_acc,lr,best_epoch,best_val_loss
1,0.8491287775844941,0.654288240495137,0.9575176853532633,0.6735537190082644,0.001,39,0.002242469508297095
2,0.48389541706239936,0.8205128205128205,0.3163638725137908,0.8884297520661157,0.001,39,0.002242469508297095
3,0.3385754787848124,0.887709991158267,0.22111854659131736,0.9132231404958677,0.001,39,0.002242469508297095
4,0.286978892316658,0.905393457117595,0.24468655628729458,0.9256198347107438,0.001,39,0.002242469508297095
5,0.24970461706162342,0.9221927497789567,0.20978585168842442,0.9049586776859504,0.001,39,0.002242469508297095
6,0.20227798485879767,0.9416445623342176,0.0795019204489702,0.9586776859504132,0.001,39,0.002242469508297095
7,0.216043315636806,0.9248452696728559,0.33402637100570703,0.8347107438016529,0.001,39,0.002242469508297095
8,0.18682859154215542,0.9372236958443855,0.07988555891793375,0.9793388429752066,0.001,39,0.002242469508297095
9,0.18280036967481583,0.9478337754199824,0.10171307811959962,0.9545454545454546,0.001,39,0.002242469508297095
10,0.1947655637215767,0.9398762157382847,1.0414707846735716,0.7520661157024794,0.0005,39,0.002242469508297095
11,0.15837197551696464,0.9451812555260831,0.028729237354368217,1.0,0.0005,39,0.002242469508297095
12,0.1107123141645542,0.9708222811671088,0.025860870503320182,0.9958677685950413,0.0005,39,0.002242469508297095
13,0.11160250882940098,0.969053934571176,0.013243044649581771,1.0,0.0005,39,0.002242469508297095
14,0.07517316787907974,0.9796640141467727,0.012695953053660875,1.0,0.0005,39,0.002242469508297095
15,0.08725309296520171,0.9699381078691424,0.0316184524404393,0.9793388429752066,0.0005,39,0.002242469508297095
16,0.11885477126856803,0.9672855879752431,0.021535043273706082,0.9958677685950413,0.0005,39,0.002242469508297095
17,0.07888585937174018,0.9752431476569408,0.006385008596684322,1.0,0.0005,39,0.002242469508297095
18,0.05751560573078277,0.9849690539345711,0.017989203512807153,0.987603305785124,0.0005,39,0.002242469508297095
19,0.07379883021333648,0.9761273209549072,0.009935820729217747,1.0,0.0005,39,0.002242469508297095
20,0.08528853852753086,0.97789566755084,0.010593691588695015,1.0,0.0005,39,0.002242469508297095
21,0.06976506801093184,0.97789566755084,0.012207777943646858,1.0,0.00025,39,0.002242469508297095
22,0.05451921803117536,0.986737400530504,0.022143347793516573,0.987603305785124,0.00025,39,0.002242469508297095
23,0.04191444851425135,0.9929266136162688,0.007896198560137395,1.0,0.00025,39,0.002242469508297095
24,0.03563445494909607,0.9920424403183024,0.005921342555425815,1.0,0.00025,39,0.002242469508297095
25,0.049097455319949315,0.9840848806366048,0.016612457371728635,0.9958677685950413,0.00025,39,0.002242469508297095
26,0.06098308127989398,0.9840848806366048,0.01159666945161067,0.9958677685950413,0.00025,39,0.002242469508297095
27,0.039836746647914464,0.9946949602122016,0.007450432254459463,1.0,0.00025,39,0.002242469508297095
28,0.04731109393159443,0.9893899204244032,0.005211377004546321,1.0,0.00025,39,0.002242469508297095
29,0.04744136445454851,0.986737400530504,0.011713984994119618,0.9958677685950413,0.00025,39,0.002242469508297095
30,0.04861462763802969,0.9885057471264368,0.0076602927239781075,1.0,0.00025,39,0.002242469508297095
31,0.04167583113771745,0.9911582670203359,0.008566003059006242,1.0,0.00025,39,0.002242469508297095
32,0.0379342111655133,0.9902740937223696,0.003707520093688018,1.0,0.00025,39,0.002242469508297095
33,0.04111742611009394,0.9902740937223696,0.006685219196148586,1.0,0.00025,39,0.002242469508297095
34,0.062156499729094046,0.9885057471264368,0.006752286509472169,1.0,0.00025,39,0.002242469508297095
35,0.030349504364000603,0.9929266136162688,0.014678043924625154,1.0,0.00025,39,0.002242469508297095
36,0.0487618077048994,0.9849690539345711,0.008846605237965927,1.0,0.000125,39,0.002242469508297095
37,0.041848532746815235,0.9911582670203359,0.007321343357936471,1.0,0.000125,39,0.002242469508297095
38,0.028998670673819636,0.9938107869142352,0.003699725286453993,1.0,0.000125,39,0.002242469508297095
39,0.02604598800011908,0.9902740937223696,0.002242469508297095,1.0,0.000125,39,0.002242469508297095
40,0.028852442544609124,0.9938107869142352,0.002764136440020578,1.0,0.000125,39,0.002242469508297095
41,0.030415836886348815,0.9911582670203359,0.008109832839407258,1.0,0.000125,39,0.002242469508297095
42,0.032227503616695484,0.9938107869142352,0.0025244094200493877,1.0,0.000125,39,0.002242469508297095
43,0.023236946707589766,0.9938107869142352,0.0047220577913276805,1.0,6.25e-05,39,0.002242469508297095
44,0.0303879186023557,0.9938107869142352,0.004382687447638797,1.0,6.25e-05,39,0.002242469508297095
45,0.03444379537796995,0.9920424403183024,0.0030512934209574938,1.0,6.25e-05,39,0.002242469508297095
46,0.03432543603431641,0.9911582670203359,0.004927182203295356,1.0,6.25e-05,39,0.002242469508297095
47,0.032896820376738314,0.9911582670203359,0.003119678662037323,1.0,3.125e-05,39,0.002242469508297095
48,0.02274871367885411,0.995579133510168,0.0031772279221476017,1.0,3.125e-05,39,0.002242469508297095
49,0.028331361882302952,0.9893899204244032,0.0025165404742949235,1.0,3.125e-05,39,0.002242469508297095
